,Real_Estate,GDP,Per_Capita,Unemployement,Employement
2005,#REF!,1023432.75,793176071,5.041666667,94.95833333
2006,687733.3333,1077890.75,849172187,4.116666667,95.88333333
2007,691483.3333,1114698.25,908162948,3.775,96.225
2008,645783.3333,1113446,927888435,4.508333333,95.49166667
2010,523808.3333,1204688.5,934270262,8.125,91.875
2011,497358.3333,1229742.75,991352307,7.483333333,92.51666667
2012,490708.3333,1301040.5,1053660783,7.1,92.9
2013,519433.3,1334929.75,1072125105,6.833333333,93.16666667
2014,565075,1382933,1119433988,6.683333333,93.31666667
2015,568441.7,1433531,1161414144,6.491666667,93.50833333
2016,620458.3,1478278,1194090839,6.691666667,93.30833333
