"","city","real_2005","real_2006","real_2007","real_2008","real_2009","real_2010","real_2011","real_2012","real_2013","real_2014","real_2015","real_2016","gdp_2005","gdp_2006","gdp_2007","gdp_2008","gdp_2009","gdp_2010","gdp_2011","gdp_2012","gdp_2013","gdp_2014","gdp_2015","gdp_2016","per_capita_2005","per_capita_2006","per_capita_2007","per_capita_2008","per_capita_2009","per_capita_2010","per_capita_2011","per_capita_2012","per_capita_2013","per_capita_2014","per_capita_2015","per_capita_2016","ur_2005","ur_2006","ur_2007","ur_2008","ur_2009","ur_2010","ur_2011","ur_2012","ur_2013","ur_2014","ur_2015","ur_2016","er_2005","er_2006","er_2007","er_2008","er_2009","er_2010","er_2011","er_2012","er_2013","er_2014","er_2015","er_2016"
"1","New York","405793.4615","511650","513875","500033.3333","464566.6667","481958.3333","468750","464433.3333","482125","516733.3333","541350","595808.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"2","Rochester","84615.35799","57300","58500","58833.33333","58808.33333","60566.66667","59991.66667","60250","59941.66667","62058.33333","64416.66667","68283.33333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"3","Yonkers","429098.4985","482266.6667","485025","463241.6667","425991.6667","399500","375641.6667","354658.3333","364750","381525","390258.3333","415958.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"4","Syracuse","83765.1724","72000","73883.33333","76608.33333","75641.66667","82000","79733.33333","80783.33333","80358.33333","78958.33333","80800","81558.33333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"5","Town of Greece","133504.3483","115691.6667","115691.6667","115358.3333","113883.3333","118891.6667","118566.6667","119075","119441.6667","120908.3333","123641.6667","126900",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"6","Albany","149169.5653","166283.3333","172708.3333","172533.3333","170766.6667","167741.6667","162458.3333","161933.3333","162733.3333","163408.3333","161300","162808.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"7","Town of Poughkeepsie","298803.3536","289950","278133.3333","259925","239458.3333","222100","205641.6667","196725","186966.6667","191050","192666.6667","200591.6667",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"8","New Rochelle","692523.0204","701133.3333","696741.6667","663683.3333","616758.3333","570325","534241.6667","515816.6667","549416.6667","571608.3333","605141.6667","631608.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"9","Town of Colonie","196641.2434","204550","210941.6667","205308.3333","204725","201975","193466.6667","190441.6667","199091.6667","202033.3333","204200","211208.3333",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
"10","Mount Vernon","455595.1087","496650","518558.3333","492033.3333","417266.6667","401883.3333","382525","345466.6667","339750","359816.6667","378658.3333","407725",1023432.75,1077890.75,1114698.25,1113446,1148407.25,1204688.5,1229742.75,1301040.5,1334929.75,1382933,1433531,1478278,793176071,849172187,908162948,927888435,905801349,934270262,991352307,1053660783,1072125105,1119433988,1161414144,1194090839,5.041666667,4.116666667,3.775,4.508333333,7.7,8.125,7.483333333,7.1,6.833333333,6.683333333,6.491666667,6.691666667,94.958333333,95.883333333,96.225,95.491666667,92.3,91.875,92.516666667,92.9,93.166666667,93.316666667,93.508333333,93.308333333
