month,unemployment_rate,fed_funds_rate,10y_rate,nonfarm_payrolls,cpi_index
1954-08,6,1.22,2.36,48825000,26.85
1954-09,6.1,1.06,2.38,48882000,26.81
1954-10,5.7,0.85,2.43,48944000,26.72
1954-11,5.3,0.83,2.48,49178000,26.78
1954-12,5,1.28,2.51,49331000,26.77
1955-01,4.9,1.39,2.61,49497000,26.77
1955-02,4.7,1.29,2.65,49644000,26.82
1955-03,4.6,1.35,2.68,49963000,26.79
1955-04,4.7,1.43,2.75,50247000,26.79
1955-05,4.3,1.43,2.76,50512000,26.77
1955-06,4.2,1.64,2.78,50790000,26.71
1955-07,4,1.68,2.9,50985000,26.76
1955-08,4.2,1.96,2.97,51111000,26.72
1955-09,4.1,2.18,2.97,51262000,26.85
1955-10,4.3,2.24,2.88,51431000,26.82
1955-11,4.2,2.35,2.89,51592000,26.88
1955-12,4.2,2.48,2.96,51805000,26.87
1956-01,4,2.45,2.9,51975000,26.83
1956-02,3.9,2.5,2.84,52167000,26.86
1956-03,4.2,2.5,2.96,52295000,26.89
1956-04,4,2.62,3.18,52375000,26.93
1956-05,4.3,2.75,3.07,52506000,27.03
1956-06,4.3,2.71,3,52584000,27.15
1956-07,4.4,2.75,3.11,51954000,27.29
1956-08,4.1,2.73,3.33,52630000,27.31
1956-09,3.9,2.95,3.38,52601000,27.35
1956-10,3.9,2.96,3.34,52781000,27.51
1956-11,4.3,2.88,3.49,52822000,27.51
1956-12,4.2,2.94,3.59,52930000,27.63
1957-01,4.2,2.84,3.46,52888000,27.67
1957-02,3.9,3,3.34,53097000,27.8
1957-03,3.7,2.96,3.41,53157000,27.86
1957-04,3.9,3,3.48,53238000,27.93
1957-05,4.1,3,3.6,53149000,28
1957-06,4.3,3,3.8,53066000,28.11
1957-07,4.2,2.99,3.93,53123000,28.19
1957-08,4.1,3.24,3.93,53126000,28.28
1957-09,4.4,3.47,3.92,52932000,28.32
1957-10,4.5,3.5,3.97,52765000,28.32
1957-11,5.1,3.28,3.72,52559000,28.41
1957-12,5.2,2.98,3.21,52385000,28.47
1958-01,5.8,2.72,3.09,52077000,28.64
1958-02,6.4,1.67,3.05,51576000,28.7
1958-03,6.7,1.2,2.98,51300000,28.87
1958-04,7.4,1.26,2.88,51027000,28.94
1958-05,7.4,0.63,2.92,50913000,28.94
1958-06,7.3,0.93,2.97,50912000,28.91
1958-07,7.5,0.68,3.2,51037000,28.89
1958-08,7.4,1.53,3.54,51231000,28.94
1958-09,7.1,1.76,3.76,51506000,28.91
1958-10,6.7,1.8,3.8,51486000,28.91
1958-11,6.2,2.27,3.74,51944000,28.95
1958-12,6.2,2.42,3.86,52088000,28.97
1959-01,6,2.48,4.02,52480000,29.01
1959-02,5.9,2.43,3.96,52687000,29
1959-03,5.6,2.8,3.99,53016000,28.97
1959-04,5.2,2.96,4.12,53320000,28.98
1959-05,5.1,2.9,4.31,53549000,29.04
1959-06,5,3.39,4.34,53679000,29.11
1959-07,5.1,3.47,4.4,53803000,29.15
1959-08,5.2,3.5,4.43,53334000,29.18
1959-09,5.5,3.76,4.68,53429000,29.25
1959-10,5.7,3.98,4.53,53359000,29.35
1959-11,5.8,4,4.53,53635000,29.35
1959-12,5.3,3.99,4.69,54175000,29.41
1960-01,5.2,3.99,4.72,54274000,29.37
1960-02,4.8,3.97,4.49,54513000,29.41
1960-03,5.4,3.84,4.25,54458000,29.41
1960-04,5.2,3.92,4.28,54812000,29.54
1960-05,5.1,3.85,4.35,54473000,29.57
1960-06,5.4,3.32,4.15,54347000,29.61
1960-07,5.5,3.23,3.9,54304000,29.55
1960-08,5.6,2.98,3.8,54271000,29.61
