state,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2005_per_capita,2006_per_capita,2007_per_capita,2008_per_capita,2009_per_capita,2010_per_capita,2011_per_capita,2012_per_capita,2013_per_capita,2014_per_capita,2015_per_capita,2016_per_capita,2005_ur,2006_ur,2007_ur,2008_ur,2009_ur,2010_ur,2011_ur,2012_ur,2013_ur,2014_ur,2015_ur,2016_ur
AL,156750.5,164468.25,169923.5,172646,168314.5,174710.25,180664.75,185878.5,190095.5,194420.5,199656,204318,136187496,144954288,152246048,157727573,155513766,161256950,166595407,170881367,172789879,178976771,184784917,190031266,6.883333333,6.616666667,6.35,6.708333333,7.741666667,7.858333333,7.566666667,7.116666667,6.9,6.866666667,6.433333333,6.616666667
AK,40063.25,44678.5,49196.5,55461.25,50462.75,54134.25,58759.25,60890.25,59761.75,58252.75,52747,50836.66667,25928163,27582437,29744447,32853999,32731783,34711427,37151409,38490699,37916014,40229123,41460746,40894910.67,4.483333333,4.05,4.05,5.866666667,11.14166667,10.53333333,9.541666667,7.983333333,7.15,6.725,6.075,5.975
AZ,227357.5,248459.25,262045.25,256718.75,242509,245667.75,254192.25,264692.5,270641.75,280166.5,290903,299639,188531565,209240727,220503346,224317885,214058229,215052605,225838885,236220305,242181504,255731845,267361132,275995173.7,5.2,5.15,5.308333333,5.525,7.9,8.183333333,8.216666667,7.516666667,7.233333333,6.016666667,5.033333333,4.05
AR,90318.75,94839,97384,99837.75,98020.25,102951,107287.25,109226,114379,117853.75,118907,122165.6667,77736622,82701324,88227922,92390681,90880167,92913782,99296630,106664517,106466207,111500761,113923539,117240803,4.55,4.083333333,3.883333333,6.183333333,10.25,10.41666667,9.45,8.283333333,7.55,6.708333333,5.916666667,5.241666667
CA,1766692.75,1879520.5,1956522.75,1983926.25,1912115,1965885.75,2036296.75,2131199.25,2223958.25,2350806.75,2481348.5,2562912.667,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1977923740,2103669473,2181747067,5.366666667,4.916666667,5.408333333,7.458333333,11.25,12.14166667,11.59166667,10.29166667,8.841666667,7.475,6.175,5.441666667
CO,220454.25,231919.75,245949,254784,247270,253374.75,262719,272798.75,286750.5,304943,313748.5,320609.6667,176129181,189492643,201743269,208608111,198082468,201569924,219860916,234005901,246648165,266534568,277731754,285834114.3,4.941666667,4.208333333,3.766666667,4.875,7.558333333,8.75,8.333333333,7.841666667,6.675,4.925,3.791666667,3.258333333
CT,210170.25,221419.5,236640,238211.25,233561.5,234528.25,234232.75,239461.75,240750.25,245159.75,252929.5,258108,176139627,190614991,204296045,217101744,215234464,222404940,229211506,233710888,230614799,239829273,246709339,253249202.3,4.875,4.333333333,4.483333333,5.7,8.066666667,9.108333333,8.775,8.341666667,7.683333333,6.566666667,5.625,5.05
DE,53247.25,56001.5,56967.75,55293,57349.75,57471.5,59937.25,60628.5,60942.75,65419,68724,70851.66667,33357539,35524883,36468376,36974073,36843966,36971906,39687435,39953950,40565882,42384341,45057962,45996821.33,6.383333333,5.791666667,5.55,6.483333333,9.308333333,9.4,10.125,9.025,8.483333333,7.758333333,6.883333333,6.016666667
DC,83585.75,87496,92846,97371.75,98415,103831,107738.5,109685,111901.25,116446,122145.5,126653.6667,30551489,32542965,34651082,36034466,35532577,37436702,40811859,42309871,43195599,46438822,49275917,51184731,4.141666667,3.591666667,3.45,4.991666667,8.266666667,8.391666667,7.491666667,7.191666667,6.7,5.7,4.825,4.375
FL,700267,746170.25,769817,748320.5,721755,735097.5,741454.75,764135.5,793089,833369.25,888086.75,923224,647093731,703750490,730814302,734691254,691355724,728063852,773315948,793103892,798885890,853317759,900636248,936664930.3,3.658333333,3.233333333,4.141666667,6.525,10.53333333,10.89166667,9.8,8.358333333,7.091666667,6.175,5.333333333,4.916666667
